Temperature (C) ,Pressure_kpa,Cloud Cover (%),Wind Direction (deg),Wind Speed (kmh),Time,,,,
15.72188622,1011,20,13,12,2020-11-06 00:00:00,,,,
15.72188622,1011,22,14,12,2020-11-06 01:00:00,,,,
15.72188622,1011,24,15,12,2020-11-06 02:00:00,,,,
15.72188622,1010,25,16,11,2020-11-06 03:00:00,,,,
15.72188622,1010,26,17,11,2020-11-06 04:00:00,,,,
15.72188622,1011,26,17,11,2020-11-06 05:00:00,,,,
15.72188622,1011,27,17,10,2020-11-06 06:00:00,,,,
15.72188622,1012,26,53,9,2020-11-06 07:00:00,,,,
15.72188622,1012,26,90,8,2020-11-06 08:00:00,,,,
17.72188622,1013,26,126,7,2020-11-06 09:00:00,,,,
17.72188622,1012,27,193,8,2020-11-06 10:00:00,,,,
19.72188622,1012,27,260,8,2020-11-06 11:00:00,,,,
19.72188622,1012,27,328,9,2020-11-06 12:00:00,,,,
19.72188622,1011,24,324,11,2020-11-06 13:00:00,,,,
19.72188622,1010,21,320,14,2020-11-06 14:00:00,,,,
17.72188622,1010,18,317,16,2020-11-06 15:00:00,,,,
17.72188622,1010,17,322,16,2020-11-06 16:00:00,,,,
17.72188622,1010,16,327,15,2020-11-06 17:00:00,,,,
17.72188622,1010,15,333,14,2020-11-06 18:00:00,,,,
17.72188622,1011,14,300,13,2020-11-06 19:00:00,,,,
17.72188622,1012,13,267,12,2020-11-06 20:00:00,,,,
17.72188622,1012,13,234,11,2020-11-06 21:00:00,,,,
13.72188622,1012,11,164,10,2020-11-06 22:00:00,,,,
9.721886217,1012,10,93,9,2020-11-06 23:00:00,,,,
5.721886217,1012,9,23,9,2020-11-07 00:00:00,,,,
9.721886217,1012,9,26,9,2020-11-07 01:00:00,,,,
13.72188622,1012,8,28,8,2020-11-07 02:00:00,,,,
15.72188622,1011,8,31,8,2020-11-07 03:00:00,,,,
15.72188622,1012,8,27,9,2020-11-07 04:00:00,,,,
15.72188622,1012,8,23,9,2020-11-07 05:00:00,,,,
15.72188622,1012,8,20,9,2020-11-07 06:00:00,,,,
15.72188622,1013,8,56,9,2020-11-07 07:00:00,,,,
15.72188622,1013,8,91,9,2020-11-07 08:00:00,,,,
17.72188622,1014,9,127,9,2020-11-07 09:00:00,,,,
17.72188622,1013,9,198,10,2020-11-07 10:00:00,,,,
19.72188622,1013,9,268,10,2020-11-07 11:00:00,,,,
19.72188622,1013,9,338,11,2020-11-07 12:00:00,,,,
19.72188622,1012,9,334,14,2020-11-07 13:00:00,,,,
19.72188622,1011,9,329,16,2020-11-07 14:00:00,,,,
17.72188622,1011,9,324,19,2020-11-07 15:00:00,,,,
17.72188622,1011,8,327,19,2020-11-07 16:00:00,,,,
15.72188622,1011,8,331,19,2020-11-07 17:00:00,,,,
13.72188622,1011,7,334,19,2020-11-07 18:00:00,,,,
11.72188622,1012,7,337,17,2020-11-07 19:00:00,,,,
9.721886217,1012,6,341,15,2020-11-07 20:00:00,,,,
5.721886217,1013,5,345,14,2020-11-07 21:00:00,,,,
7.721886217,1013,4,234,12,2020-11-07 22:00:00,,,,
9.721886217,1012,2,124,10,2020-11-07 23:00:00,,,,
9.721886217,1012,1,13,8,2020-11-08 00:00:00,,,,
13.72188622,1012,1,21,7,2020-11-08 01:00:00,,,,
15.72188622,1012,2,29,6,2020-11-08 02:00:00,,,,
19.72188622,1012,3,38,5,2020-11-08 03:00:00,,,,
17.72188622,1012,3,44,6,2020-11-08 04:00:00,,,,
17.72188622,1012,4,51,6,2020-11-08 05:00:00,,,,
15.72188622,1012,4,58,7,2020-11-08 06:00:00,,,,
17.72188622,1013,5,91,6,2020-11-08 07:00:00,,,,
17.72188622,1014,5,124,6,2020-11-08 08:00:00,,,,
17.72188622,1014,5,157,5,2020-11-08 09:00:00,,,,
19.72188622,1014,6,215,6,2020-11-08 10:00:00,,,,
19.72188622,1014,6,273,7,2020-11-08 11:00:00,,,,
21.72188622,1013,7,332,8,2020-11-08 12:00:00,,,,
19.72188622,1013,7,323,11,2020-11-08 13:00:00,,,,
19.72188622,1012,7,315,14,2020-11-08 14:00:00,,,,
19.72188622,1012,7,307,17,2020-11-08 15:00:00,,,,
17.72188622,1012,7,313,17,2020-11-08 16:00:00,,,,
15.72188622,1012,7,318,17,2020-11-08 17:00:00,,,,
15.72188622,1012,6,324,17,2020-11-08 18:00:00,,,,
13.72188622,1013,6,292,15,2020-11-08 19:00:00,,,,
11.72188622,1013,6,259,13,2020-11-08 20:00:00,,,,
9.721886217,1014,5,226,11,2020-11-08 21:00:00,,,,
9.721886217,1014,6,159,9,2020-11-08 22:00:00,,,,
9.721886217,1013,7,91,8,2020-11-08 23:00:00,,,,
9.721886217,1013,8,24,6,2020-11-09 00:00:00,,,,
11.72188622,1013,8,60,6,2020-11-09 01:00:00,,,,
13.72188622,1013,8,96,6,2020-11-09 02:00:00,,,,
15.72188622,1012,9,132,6,2020-11-09 03:00:00,,,,
15.72188622,1013,9,173,7,2020-11-09 04:00:00,,,,
15.72188622,1013,10,214,7,2020-11-09 05:00:00,,,,
13.72188622,1013,11,255,8,2020-11-09 06:00:00,,,,
15.72188622,1013,11,217,7,2020-11-09 07:00:00,,,,
15.72188622,1014,11,179,7,2020-11-09 08:00:00,,,,
15.72188622,1014,12,142,6,2020-11-09 09:00:00,,,,
17.72188622,1014,11,201,7,2020-11-09 10:00:00,,,,
17.72188622,1014,11,260,8,2020-11-09 11:00:00,,,,
19.72188622,1013,10,319,9,2020-11-09 12:00:00,,,,
19.72188622,1013,9,314,12,2020-11-09 13:00:00,,,,
17.72188622,1012,9,309,15,2020-11-09 14:00:00,,,,
17.72188622,1011,8,304,19,2020-11-09 15:00:00,,,,
17.72188622,1011,9,306,19,2020-11-09 16:00:00,,,,
15.72188622,1012,11,309,18,2020-11-09 17:00:00,,,,
15.72188622,1012,12,311,18,2020-11-09 18:00:00,,,,
15.72188622,1012,14,279,16,2020-11-09 19:00:00,,,,
15.72188622,1013,15,247,13,2020-11-09 20:00:00,,,,
15.72188622,1013,17,215,10,2020-11-09 21:00:00,,,,
13.72188622,1013,17,223,10,2020-11-09 22:00:00,,,,
13.72188622,1013,18,232,10,2020-11-09 23:00:00,,,,
13.72188622,1013,18,241,9,2020-11-10 00:00:00,,,,
13.72188622,1013,18,166,9,2020-11-10 01:00:00,,,,
13.72188622,1013,17,91,9,2020-11-10 02:00:00,,,,
11.72188622,1012,17,16,9,2020-11-10 03:00:00,,,,
11.72188622,1012,16,21,9,2020-11-10 04:00:00,,,,
11.72188622,1013,16,27,9,2020-11-10 05:00:00,,,,
11.72188622,1013,15,32,9,2020-11-10 06:00:00,,,,
13.72188622,1013,15,45,8,2020-11-10 07:00:00,,,,
13.72188622,1013,15,58,7,2020-11-10 08:00:00,,,,
15.72188622,1014,15,72,6,2020-11-10 09:00:00,,,,
15.72188622,1013,15,99,6,2020-11-10 10:00:00,,,,
17.72188622,1013,15,126,6,2020-11-10 11:00:00,,,,
19.72188622,1012,15,153,6,2020-11-10 12:00:00,,,,
19.72188622,1012,15,195,8,2020-11-10 13:00:00,,,,
19.72188622,1011,15,237,10,2020-11-10 14:00:00,,,,
17.72188622,1010,15,280,12,2020-11-10 15:00:00,,,,
17.72188622,1010,15,288,13,2020-11-10 16:00:00,,,,
15.72188622,1011,14,297,14,2020-11-10 17:00:00,,,,
15.72188622,1011,14,305,14,2020-11-10 18:00:00,,,,
15.72188622,1011,13,282,13,2020-11-10 19:00:00,,,,
15.72188622,1011,12,259,12,2020-11-10 20:00:00,,,,
15.72188622,1012,12,236,10,2020-11-10 21:00:00,,,,
11.72188622,1012,12,165,9,2020-11-10 22:00:00,,,,
9.721886217,1012,12,94,9,2020-11-10 23:00:00,,,,
5.721886217,1012,13,24,8,2020-11-11 00:00:00,,,,
7.721886217,1011,13,29,8,2020-11-11 01:00:00,,,,
11.72188622,1011,14,34,7,2020-11-11 02:00:00,,,,
13.72188622,1011,14,39,7,2020-11-11 03:00:00,,,,
13.72188622,1011,14,38,7,2020-11-11 04:00:00,,,,
13.72188622,1011,13,37,8,2020-11-11 05:00:00,,,,
13.72188622,1012,12,36,8,2020-11-11 06:00:00,,,,
13.72188622,1012,11,45,8,2020-11-11 07:00:00,,,,
13.72188622,1012,10,53,8,2020-11-11 08:00:00,,,,
15.72188622,1013,9,62,8,2020-11-11 09:00:00,,,,
17.72188622,1012,9,90,7,2020-11-11 10:00:00,,,,
17.72188622,1012,9,118,6,2020-11-11 11:00:00,,,,
19.72188622,1012,9,146,5,2020-11-11 12:00:00,,,,
19.72188622,1011,8,193,7,2020-11-11 13:00:00,,,,
19.72188622,1010,8,239,8,2020-11-11 14:00:00,,,,
19.72188622,1010,7,285,10,2020-11-11 15:00:00,,,,
19.72188622,1010,7,298,12,2020-11-11 16:00:00,,,,
17.72188622,1010,7,312,15,2020-11-11 17:00:00,,,,
15.72188622,1010,6,325,17,2020-11-11 18:00:00,,,,
15.72188622,1011,6,299,16,2020-11-11 19:00:00,,,,
13.72188622,1012,5,272,14,2020-11-11 20:00:00,,,,
13.72188622,1012,4,245,13,2020-11-11 21:00:00,,,,
11.72188622,1012,6,181,11,2020-11-11 22:00:00,,,,
11.72188622,1012,7,116,9,2020-11-11 23:00:00,,,,
9.721886217,1012,9,52,7,2020-11-12 00:00:00,,,,
11.72188622,1012,8,45,8,2020-11-12 01:00:00,,,,
13.72188622,1012,7,38,8,2020-11-12 02:00:00,,,,
13.72188622,1011,6,31,9,2020-11-12 03:00:00,,,,
13.72188622,1012,6,31,10,2020-11-12 04:00:00,,,,
13.72188622,1012,5,30,10,2020-11-12 05:00:00,,,,
13.72188622,1012,5,29,11,2020-11-12 06:00:00,,,,
13.72188622,1013,4,38,11,2020-11-12 07:00:00,,,,
13.72188622,1013,4,47,11,2020-11-12 08:00:00,,,,
15.72188622,1014,4,55,11,2020-11-12 09:00:00,,,,
17.72188622,1013,4,87,11,2020-11-12 10:00:00,,,,
19.72188622,1013,3,118,11,2020-11-12 11:00:00,,,,
21.72188622,1012,3,150,10,2020-11-12 12:00:00,,,,
21.72188622,1012,3,212,12,2020-11-12 13:00:00,,,,
21.72188622,1011,3,274,13,2020-11-12 14:00:00,,,,
21.72188622,1011,3,335,15,2020-11-12 15:00:00,,,,
19.72188622,1011,3,300,16,2020-11-12 16:00:00,,,,
17.72188622,1011,3,264,17,2020-11-12 17:00:00,,,,
15.72188622,1012,3,228,18,2020-11-12 18:00:00,,,,
11.72188622,1012,4,160,17,2020-11-12 19:00:00,,,,
9.721886217,1013,4,92,16,2020-11-12 20:00:00,,,,
5.721886217,1013,4,24,15,2020-11-12 21:00:00,,,,
9.721886217,1013,4,35,15,2020-11-12 22:00:00,,,,
11.72188622,1013,3,47,15,2020-11-12 23:00:00,,,,
15.72188622,1013,3,58,16,2020-11-13 00:00:00,,,,
15.72188622,1013,3,58,15,2020-11-13 01:00:00,,,,
15.72188622,1013,3,59,13,2020-11-13 02:00:00,,,,
13.72188622,1013,3,59,12,2020-11-13 03:00:00,,,,
13.72188622,1013,3,59,12,2020-11-13 04:00:00,,,,
13.72188622,1013,4,58,12,2020-11-13 05:00:00,,,,
13.72188622,1014,4,58,12,2020-11-13 06:00:00,,,,
13.72188622,1014,4,57,13,2020-11-13 07:00:00,,,,
13.72188622,1015,5,57,13,2020-11-13 08:00:00,,,,
13.72188622,1015,5,56,14,2020-11-13 09:00:00,,,,
15.72188622,1015,6,89,14,2020-11-13 10:00:00,,,,
17.72188622,1015,6,122,14,2020-11-13 11:00:00,,,,
19.72188622,1014,7,154,14,2020-11-13 12:00:00,,,,
19.72188622,1013,9,181,13,2020-11-13 13:00:00,,,,
19.72188622,1013,12,207,13,2020-11-13 14:00:00,,,,
19.72188622,1012,14,234,13,2020-11-13 15:00:00,,,,
19.72188622,1012,16,164,14,2020-11-13 16:00:00,,,,
19.72188622,1013,18,94,15,2020-11-13 17:00:00,,,,
19.72188622,1013,20,25,15,2020-11-13 18:00:00,,,,
17.72188622,1014,20,38,17,2020-11-13 19:00:00,,,,
17.72188622,1014,19,52,18,2020-11-13 20:00:00,,,,
15.72188622,1015,19,65,20,2020-11-13 21:00:00,,,,
15.72188622,1015,14,65,18,2020-11-13 22:00:00,,,,
15.72188622,1015,10,64,15,2020-11-13 23:00:00,,,,
15.72188622,1015,6,64,13,2020-11-14 00:00:00,,,,
15.72188622,1015,5,61,13,2020-11-14 01:00:00,,,,
13.72188622,1015,4,58,12,2020-11-14 02:00:00,,,,
13.72188622,1015,3,54,12,2020-11-14 03:00:00,,,,
13.72188622,1015,4,57,13,2020-11-14 04:00:00,,,,
11.72188622,1015,5,60,13,2020-11-14 05:00:00,,,,
11.72188622,1015,6,62,14,2020-11-14 06:00:00,,,,
11.72188622,1016,8,65,14,2020-11-14 07:00:00,,,,
11.72188622,1016,9,67,14,2020-11-14 08:00:00,,,,
13.72188622,1016,11,70,14,2020-11-14 09:00:00,,,,
13.72188622,1016,13,64,14,2020-11-14 10:00:00,,,,
15.72188622,1015,16,57,14,2020-11-14 11:00:00,,,,
17.72188622,1015,18,51,14,2020-11-14 12:00:00,,,,
17.72188622,1014,21,79,13,2020-11-14 13:00:00,,,,
17.72188622,1013,23,107,12,2020-11-14 14:00:00,,,,
19.72188622,1012,26,135,11,2020-11-14 15:00:00,,,,
17.72188622,1013,28,175,11,2020-11-14 16:00:00,,,,
17.72188622,1013,29,215,12,2020-11-14 17:00:00,,,,
17.72188622,1013,31,255,12,2020-11-14 18:00:00,,,,
17.72188622,1013,30,192,12,2020-11-14 19:00:00,,,,
17.72188622,1014,29,130,12,2020-11-14 20:00:00,,,,
17.72188622,1014,28,68,12,2020-11-14 21:00:00,,,,
15.72188622,1014,49,80,12,2020-11-14 22:00:00,,,,
15.72188622,1014,70,93,12,2020-11-14 23:00:00,,,,
15.72188622,1014,91,105,12,2020-11-15 00:00:00,,,,
15.72188622,1013,92,102,13,2020-11-15 01:00:00,,,,
13.72188622,1013,92,99,14,2020-11-15 02:00:00,,,,
13.72188622,1013,93,96,14,2020-11-15 03:00:00,,,,
13.72188622,1013,85,92,15,2020-11-15 04:00:00,,,,
13.72188622,1013,77,87,15,2020-11-15 05:00:00,,,,
13.72188622,1013,68,82,15,2020-11-15 06:00:00,,,,
13.72188622,1014,58,84,15,2020-11-15 07:00:00,,,,
15.72188622,1014,48,86,15,2020-11-15 08:00:00,,,,
15.72188622,1015,38,88,15,2020-11-15 09:00:00,,,,
17.72188622,1015,36,112,14,2020-11-15 10:00:00,,,,
17.72188622,1014,34,135,12,2020-11-15 11:00:00,,,,
19.72188622,1014,33,159,11,2020-11-15 12:00:00,,,,
19.72188622,1013,39,197,10,2020-11-15 13:00:00,,,,
19.72188622,1012,46,235,10,2020-11-15 14:00:00,,,,
19.72188622,1012,53,274,10,2020-11-15 15:00:00,,,,
17.72188622,1012,53,283,10,2020-11-15 16:00:00,,,,
17.72188622,1012,53,291,11,2020-11-15 17:00:00,,,,
15.72188622,1013,53,300,11,2020-11-15 18:00:00,,,,
15.72188622,1013,52,308,10,2020-11-15 19:00:00,,,,
15.72188622,1014,52,316,9,2020-11-15 20:00:00,,,,
15.72188622,1014,51,325,9,2020-11-15 21:00:00,,,,
15.72188622,1014,44,293,9,2020-11-15 22:00:00,,,,
15.72188622,1014,37,261,10,2020-11-15 23:00:00,,,,
13.72188622,1014,31,229,11,2020-11-16 00:00:00,,,,
13.72188622,1014,34,157,10,2020-11-16 01:00:00,,,,
13.72188622,1013,37,86,10,2020-11-16 02:00:00,,,,
13.72188622,1013,40,15,9,2020-11-16 03:00:00,,,,
13.72188622,1013,40,22,9,2020-11-16 04:00:00,,,,
13.72188622,1013,39,29,9,2020-11-16 05:00:00,,,,
13.72188622,1013,39,36,9,2020-11-16 06:00:00,,,,
13.72188622,1014,33,37,8,2020-11-16 07:00:00,,,,
15.72188622,1014,28,39,8,2020-11-16 08:00:00,,,,
15.72188622,1015,22,40,7,2020-11-16 09:00:00,,,,
17.72188622,1014,23,68,7,2020-11-16 10:00:00,,,,
19.72188622,1014,23,96,7,2020-11-16 11:00:00,,,,
19.72188622,1014,24,124,7,2020-11-16 12:00:00,,,,
19.72188622,1013,24,187,9,2020-11-16 13:00:00,,,,
19.72188622,1012,25,251,10,2020-11-16 14:00:00,,,,
19.72188622,1012,25,315,12,2020-11-16 15:00:00,,,,
19.72188622,1012,27,321,12,2020-11-16 16:00:00,,,,
19.72188622,1012,29,326,13,2020-11-16 17:00:00,,,,
17.72188622,1013,31,332,13,2020-11-16 18:00:00,,,,
17.72188622,1013,34,300,12,2020-11-16 19:00:00,,,,
17.72188622,1014,37,268,12,2020-11-16 20:00:00,,,,
17.72188622,1014,40,237,11,2020-11-16 21:00:00,,,,
17.72188622,1014,40,165,10,2020-11-16 22:00:00,,,,
17.72188622,1014,39,94,9,2020-11-16 23:00:00,,,,
17.72188622,1015,39,22,8,2020-11-17 00:00:00,,,,
17.72188622,1014,34,25,7,2020-11-17 01:00:00,,,,
15.72188622,1014,29,28,7,2020-11-17 02:00:00,,,,
15.72188622,1013,24,31,6,2020-11-17 03:00:00,,,,
15.72188622,1013,22,30,7,2020-11-17 04:00:00,,,,
15.72188622,1014,20,28,7,2020-11-17 05:00:00,,,,
15.72188622,1014,17,27,8,2020-11-17 06:00:00,,,,
17.72188622,1014,15,31,8,2020-11-17 07:00:00,,,,
17.72188622,1015,12,36,8,2020-11-17 08:00:00,,,,
19.72188622,1015,9,40,8,2020-11-17 09:00:00,,,,
19.72188622,1015,8,74,8,2020-11-17 10:00:00,,,,
21.72188622,1014,7,109,8,2020-11-17 11:00:00,,,,
21.72188622,1014,6,144,8,2020-11-17 12:00:00,,,,
21.72188622,1013,7,201,11,2020-11-17 13:00:00,,,,
21.72188622,1012,9,259,14,2020-11-17 14:00:00,,,,
21.72188622,1012,10,317,17,2020-11-17 15:00:00,,,,
19.72188622,1012,10,321,18,2020-11-17 16:00:00,,,,
19.72188622,1012,10,326,19,2020-11-17 17:00:00,,,,
17.72188622,1012,10,331,21,2020-11-17 18:00:00,,,,
15.72188622,1012,9,300,18,2020-11-17 19:00:00,,,,
15.72188622,1013,9,270,15,2020-11-17 20:00:00,,,,
13.72188622,1014,8,240,13,2020-11-17 21:00:00,,,,
15.72188622,1014,11,238,11,2020-11-17 22:00:00,,,,
15.72188622,1014,14,236,9,2020-11-17 23:00:00,,,,
17.72188622,1014,18,234,7,2020-11-18 00:00:00,,,,
17.72188622,1013,17,173,7,2020-11-18 01:00:00,,,,
15.72188622,1013,16,112,6,2020-11-18 02:00:00,,,,
15.72188622,1013,15,51,6,2020-11-18 03:00:00,,,,
15.72188622,1013,15,66,7,2020-11-18 04:00:00,,,,
15.72188622,1013,14,81,8,2020-11-18 05:00:00,,,,
15.72188622,1013,13,97,8,2020-11-18 06:00:00,,,,
15.72188622,1014,11,98,9,2020-11-18 07:00:00,,,,
17.72188622,1014,9,99,9,2020-11-18 08:00:00,,,,
17.72188622,1015,7,99,10,2020-11-18 09:00:00,,,,
19.72188622,1014,6,124,10,2020-11-18 10:00:00,,,,
21.72188622,1014,5,149,9,2020-11-18 11:00:00,,,,
21.72188622,1013,4,174,9,2020-11-18 12:00:00,,,,
21.72188622,1012,5,210,11,2020-11-18 13:00:00,,,,
21.72188622,1012,5,245,12,2020-11-18 14:00:00,,,,
21.72188622,1011,6,280,14,2020-11-18 15:00:00,,,,
19.72188622,1011,5,289,14,2020-11-18 16:00:00,,,,
17.72188622,1011,5,297,15,2020-11-18 17:00:00,,,,
15.72188622,1011,5,306,15,2020-11-18 18:00:00,,,,
11.72188622,1011,4,318,13,2020-11-18 19:00:00,,,,
9.721886217,1012,4,331,11,2020-11-18 20:00:00,,,,
5.721886217,1012,3,343,9,2020-11-18 21:00:00,,,,
7.721886217,1012,3,315,8,2020-11-18 22:00:00,,,,
9.721886217,1012,2,286,8,2020-11-18 23:00:00,,,,
11.72188622,1012,2,257,8,2020-11-19 00:00:00,,,,
13.72188622,1012,1,200,7,2020-11-19 01:00:00,,,,
17.72188622,1011,1,143,7,2020-11-19 02:00:00,,,,
21.72188622,1011,0,85,7,2020-11-19 03:00:00,,,,
19.72188622,1011,0,91,8,2020-11-19 04:00:00,,,,
19.72188622,1012,0,97,8,2020-11-19 05:00:00,,,,
17.72188622,1012,0,103,9,2020-11-19 06:00:00,,,,
19.72188622,1012,0,101,8,2020-11-19 07:00:00,,,,
19.72188622,1013,0,99,8,2020-11-19 08:00:00,,,,
19.72188622,1014,0,97,8,2020-11-19 09:00:00,,,,
21.72188622,1013,0,118,7,2020-11-19 10:00:00,,,,
23.72188622,1013,0,138,6,2020-11-19 11:00:00,,,,
25.72188622,1013,0,159,6,2020-11-19 12:00:00,,,,
25.72188622,1012,0,200,7,2020-11-19 13:00:00,,,,
25.72188622,1011,0,241,8,2020-11-19 14:00:00,,,,
25.72188622,1010,0,282,9,2020-11-19 15:00:00,,,,
23.72188622,1011,0,294,11,2020-11-19 16:00:00,,,,
21.72188622,1011,0,306,13,2020-11-19 17:00:00,,,,
21.72188622,1011,1,318,14,2020-11-19 18:00:00,,,,
19.72188622,1011,1,293,13,2020-11-19 19:00:00,,,,
17.72188622,1012,1,268,12,2020-11-19 20:00:00,,,,
17.72188622,1012,1,243,11,2020-11-19 21:00:00,,,,
15.72188622,1012,1,178,9,2020-11-19 22:00:00,,,,
13.72188622,1012,1,113,8,2020-11-19 23:00:00,,,,
11.72188622,1012,1,49,6,2020-11-20 00:00:00,,,,
13.72188622,1011,1,51,6,2020-11-20 01:00:00,,,,
17.72188622,1011,0,53,6,2020-11-20 02:00:00,,,,
19.72188622,1010,0,56,6,2020-11-20 03:00:00,,,,
19.72188622,1011,0,57,7,2020-11-20 04:00:00,,,,
17.72188622,1011,0,58,8,2020-11-20 05:00:00,,,,
17.72188622,1011,0,59,8,2020-11-20 06:00:00,,,,
17.72188622,1012,0,66,9,2020-11-20 07:00:00,,,,
17.72188622,1012,0,73,9,2020-11-20 08:00:00,,,,
19.72188622,1013,0,80,9,2020-11-20 09:00:00,,,,
19.72188622,1012,0,108,9,2020-11-20 10:00:00,,,,
21.72188622,1012,0,136,9,2020-11-20 11:00:00,,,,
23.72188622,1011,0,163,8,2020-11-20 12:00:00,,,,
25.72188622,1011,0,209,9,2020-11-20 13:00:00,,,,
25.72188622,1010,0,255,9,2020-11-20 14:00:00,,,,
25.72188622,1009,0,301,9,2020-11-20 15:00:00,,,,
25.72188622,1009,0,308,11,2020-11-20 16:00:00,,,,
23.72188622,1010,0,315,12,2020-11-20 17:00:00,,,,
21.72188622,1010,0,323,14,2020-11-20 18:00:00,,,,
19.72188622,1010,0,295,13,2020-11-20 19:00:00,,,,
19.72188622,1011,0,267,12,2020-11-20 20:00:00,,,,
17.72188622,1011,0,239,11,2020-11-20 21:00:00,,,,
15.72188622,1011,0,177,9,2020-11-20 22:00:00,,,,
15.72188622,1011,0,115,8,2020-11-20 23:00:00,,,,
13.72188622,1012,0,53,6,2020-11-21 00:00:00,,,,
15.72188622,1011,0,60,6,2020-11-21 01:00:00,,,,
17.72188622,1011,0,66,7,2020-11-21 02:00:00,,,,
19.72188622,1010,0,73,7,2020-11-21 03:00:00,,,,
19.72188622,1011,0,70,8,2020-11-21 04:00:00,,,,
17.72188622,1011,0,67,8,2020-11-21 05:00:00,,,,
17.72188622,1011,0,64,9,2020-11-21 06:00:00,,,,
17.72188622,1012,0,64,9,2020-11-21 07:00:00,,,,
17.72188622,1012,0,65,9,2020-11-21 08:00:00,,,,
17.72188622,1013,0,65,9,2020-11-21 09:00:00,,,,
19.72188622,1012,0,95,9,2020-11-21 10:00:00,,,,
21.72188622,1012,0,125,8,2020-11-21 11:00:00,,,,
25.72188622,1011,0,154,7,2020-11-21 12:00:00,,,,
25.72188622,1011,0,204,8,2020-11-21 13:00:00,,,,
25.72188622,1010,0,254,8,2020-11-21 14:00:00,,,,
27.72188622,1009,0,304,9,2020-11-21 15:00:00,,,,
25.72188622,1009,0,310,10,2020-11-21 16:00:00,,,,
